,LATITUDE,LONGITUDE
0,30.9,-118.0
1,30.9,-117.9
2,30.9,-117.8
3,30.9,-117.7
4,30.9,-117.6
5,30.9,-117.5
6,30.9,-117.4
7,30.9,-117.3
8,30.9,-117.2
9,30.9,-117.1
10,30.9,-117.0
11,30.9,-116.9
12,30.9,-116.8
13,30.9,-116.7
14,30.9,-116.6
15,30.9,-116.5
16,30.9,-116.4
17,30.9,-116.3
18,30.9,-116.2
19,30.9,-116.1
20,30.9,-116.0
21,30.9,-115.9
22,30.9,-115.8
23,30.9,-115.7
24,30.9,-115.6
25,30.9,-115.5
26,30.9,-115.4
27,30.9,-115.3
28,30.9,-115.2
29,30.9,-115.1
30,30.9,-115.0
31,30.9,-114.9
32,30.9,-114.8
33,30.9,-114.7
34,30.9,-114.6
35,30.9,-114.5
36,30.9,-114.4
37,30.9,-114.3
38,30.9,-114.2
39,30.9,-114.1
40,31.0,-118.0
41,31.0,-117.9
42,31.0,-117.8
43,31.0,-117.7
44,31.0,-117.6
45,31.0,-117.5
46,31.0,-117.4
47,31.0,-117.3
48,31.0,-117.2
49,31.0,-117.1
50,31.0,-117.0
51,31.0,-116.9
52,31.0,-116.8
53,31.0,-116.7
54,31.0,-116.6
55,31.0,-116.5
56,31.0,-116.4
57,31.0,-116.3
58,31.0,-116.2
59,31.0,-116.1
60,31.0,-116.0
61,31.0,-115.9
62,31.0,-115.8
63,31.0,-115.7
64,31.0,-115.6
65,31.0,-115.5
66,31.0,-115.4
67,31.0,-115.3
68,31.0,-115.2
69,31.0,-115.1
70,31.0,-115.0
71,31.0,-114.9
72,31.0,-114.8
73,31.0,-114.7
74,31.0,-114.6
75,31.0,-114.5
76,31.0,-114.4
77,31.0,-114.3
78,31.0,-114.2
79,31.0,-114.1
80,31.1,-118.0
81,31.1,-117.9
82,31.1,-117.8
83,31.1,-117.7
84,31.1,-117.6
85,31.1,-117.5
86,31.1,-117.4
87,31.1,-117.3
88,31.1,-117.2
89,31.1,-117.1
90,31.1,-117.0
91,31.1,-116.9
92,31.1,-116.8
93,31.1,-116.7
94,31.1,-116.6
95,31.1,-116.5
96,31.1,-116.4
97,31.1,-116.3
98,31.1,-116.2
99,31.1,-116.1
100,31.1,-116.0
101,31.1,-115.9
102,31.1,-115.8
103,31.1,-115.7
104,31.1,-115.6
105,31.1,-115.5
106,31.1,-115.4
107,31.1,-115.3
108,31.1,-115.2
109,31.1,-115.1
110,31.1,-115.0
111,31.1,-114.9
112,31.1,-114.8
113,31.1,-114.7
114,31.1,-114.6
115,31.1,-114.5
116,31.1,-114.4
117,31.1,-114.3
